
Aspect ratio at max_mode 3: 6.000164613385855
Mean iota at 3: 0.41999630252553016
Quasisymmetry objective at max_mode 3: 0.0002308731908214546
Squared flux at max_mode 3: 0.015939103994131388
fun_coils_simple#1 - J=1.9e-02, Jf=1.9e-02, ⟨B·n⟩=3.0e-02, C-C-Sep=0.14 Jf=1.9e-02, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=0.0e+00, J_MSC=3.2e-06, J_ALS=2.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.5, 3.5, 3.5])=14.0, curvature=[3.2, 3.5, 3.8, 3.9], mean squared curvature=[5.1, 5.1, 5.1, 5.1]
fun_coils_simple#2 - J=1.5e+00, Jf=1.5e+00, ⟨B·n⟩=3.2e-01, C-C-Sep=0.01 Jf=1.5e+00, J_length=2.4e-06, J_CC=9.1e-04, J_CURVATURE=4.2e-03, J_MSC=1.4e-02, J_ALS=3.5e-06, J_LENGTH_PENALTY=4.4e-02 Coil lengths=sum([5.9, 6.2, 6.1, 5.7])=23.9, curvature=[11.2, 47.0, 60.4, 7.0], mean squared curvature=[7.2, 13.3, 18.8, 8.6]
fun_coils_simple#3 - J=9.6e-03, Jf=9.6e-03, ⟨B·n⟩=2.1e-02, C-C-Sep=0.12 Jf=9.6e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.8e-06, J_MSC=5.6e-05, J_ALS=2.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.5, 3.5, 3.5])=14.1, curvature=[3.2, 4.7, 5.9, 5.2], mean squared curvature=[5.2, 5.5, 5.7, 5.6]
fun_coils_simple#4 - J=1.4e-02, Jf=5.5e-03, ⟨B·n⟩=1.5e-02, C-C-Sep=0.08 Jf=5.5e-03, J_length=1.4e-06, J_CC=2.9e-06, J_CURVATURE=4.3e-04, J_MSC=8.8e-03, J_ALS=2.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[5.8, 8.3, 13.8, 5.6], mean squared curvature=[6.9, 9.1, 17.1, 7.8]
fun_coils_simple#5 - J=6.4e-03, Jf=5.8e-03, ⟨B·n⟩=1.5e-02, C-C-Sep=0.10 Jf=5.8e-03, J_length=1.4e-06, J_CC=0.0e+00, J_CURVATURE=1.5e-05, J_MSC=5.6e-04, J_ALS=2.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.5, 3.6, 3.6])=14.2, curvature=[4.2, 5.3, 7.6, 5.3], mean squared curvature=[5.7, 6.2, 7.8, 6.2]
fun_coils_simple#6 - J=1.6e-02, Jf=6.1e-03, ⟨B·n⟩=1.6e-02, C-C-Sep=0.08 Jf=6.1e-03, J_length=1.4e-06, J_CC=3.7e-06, J_CURVATURE=5.0e-04, J_MSC=1.0e-02, J_ALS=2.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.4, curvature=[5.6, 5.5, 14.3, 5.8], mean squared curvature=[6.8, 7.3, 18.7, 7.0]
fun_coils_simple#7 - J=5.5e-03, Jf=5.1e-03, ⟨B·n⟩=1.3e-02, C-C-Sep=0.10 Jf=5.1e-03, J_length=1.4e-06, J_CC=1.4e-08, J_CURVATURE=1.2e-06, J_MSC=4.0e-04, J_ALS=2.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.5, 3.6, 3.6, 3.6])=14.2, curvature=[4.7, 5.3, 5.4, 5.5], mean squared curvature=[6.0, 6.4, 6.8, 6.4]
fun_coils_simple#8 - J=5.2e-03, Jf=4.8e-03, ⟨B·n⟩=1.2e-02, C-C-Sep=0.09 Jf=4.8e-03, J_length=1.4e-06, J_CC=1.5e-07, J_CURVATURE=1.6e-06, J_MSC=4.3e-04, J_ALS=2.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.9, 5.2, 5.6, 5.5], mean squared curvature=[6.2, 6.4, 6.8, 6.5]
fun_coils_simple#9 - J=4.9e-03, Jf=4.5e-03, ⟨B·n⟩=1.2e-02, C-C-Sep=0.09 Jf=4.5e-03, J_length=1.4e-06, J_CC=4.2e-07, J_CURVATURE=9.1e-07, J_MSC=4.0e-04, J_ALS=2.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.9, 5.1, 4.9, 5.5], mean squared curvature=[6.3, 6.5, 6.5, 6.4]
fun_coils_simple#10 - J=4.6e-03, Jf=4.1e-03, ⟨B·n⟩=1.1e-02, C-C-Sep=0.08 Jf=4.1e-03, J_length=1.4e-06, J_CC=1.2e-06, J_CURVATURE=2.1e-06, J_MSC=4.8e-04, J_ALS=2.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.9, 5.8, 4.9, 5.4], mean squared curvature=[6.4, 6.7, 6.6, 6.4]
fun_coils_simple#11 - J=4.4e-03, Jf=3.9e-03, ⟨B·n⟩=1.1e-02, C-C-Sep=0.08 Jf=3.9e-03, J_length=1.4e-06, J_CC=1.8e-06, J_CURVATURE=3.2e-07, J_MSC=4.6e-04, J_ALS=2.0e-07, J_LENGTH_PENALTY=0.0e+00 Coil lengths=sum([3.6, 3.6, 3.6, 3.6])=14.3, curvature=[4.8, 5.2, 5.2, 5.2], mean squared curvature=[6.6, 6.5, 6.6, 6.4]
